date,temperature,humidity,luminosity
2019-12-04 15:11:40.531,21.5,33.6,227
2019-12-04 15:11:42.809,21.6,33.7,226
2019-12-04 15:11:45.087,21.6,33.8,226
2019-12-04 15:11:47.360,21.6,33.8,226
2019-12-04 15:11:49.637,21.6,33.8,226
2019-12-04 15:11:51.915,21.6,33.8,227
2019-12-04 15:11:54.192,21.6,33.8,229
2019-12-04 15:11:56.465,21.7,33.9,229
2019-12-04 15:11:58.742,21.6,33.9,229
2019-12-04 15:12:01.019,21.6,33.9,229
2019-12-04 15:12:03.296,21.7,33.9,229
2019-12-04 15:12:05.575,21.6,33.9,229
2019-12-04 15:12:07.847,21.6,33.9,227
2019-12-04 15:12:10.124,21.8,34.0,227
2019-12-04 15:12:12.401,21.6,33.9,227
2019-12-04 15:12:14.679,21.7,34.0,227
2019-12-04 15:12:16.953,21.6,33.9,229
2019-12-04 15:12:19.229,21.6,33.9,227
2019-12-04 15:12:21.507,21.6,33.9,229
2019-12-04 15:12:23.784,21.6,33.9,227
2019-12-04 15:12:26.061,21.6,33.9,226
2019-12-04 15:12:28.334,21.6,33.9,227
2019-12-04 15:12:30.614,21.6,33.9,227
2019-12-04 15:12:32.889,21.6,33.9,227
2019-12-04 15:12:35.166,21.7,34.0,227
2019-12-04 15:12:37.440,21.6,33.9,227
2019-12-04 15:12:39.716,21.6,33.9,227
2019-12-04 15:12:41.994,21.6,33.9,229
2019-12-04 15:12:44.271,21.5,33.9,229
2019-12-04 15:12:46.548,21.6,33.9,229
2019-12-04 15:12:48.822,21.6,33.9,229
2019-12-04 15:12:51.099,21.6,33.9,229
2019-12-04 15:12:53.376,21.7,34.0,229
2019-12-04 15:12:55.653,21.9,34.2,229
2019-12-04 15:12:57.927,21.6,33.9,227
2019-12-04 15:13:00.203,21.6,33.9,227
2019-12-04 15:13:02.482,21.7,34.0,226
2019-12-04 15:13:04.758,21.8,34.1,227
2019-12-04 15:13:07.035,21.6,34.0,227
2019-12-04 15:13:09.308,21.6,34.0,227
2019-12-04 15:13:11.585,21.4,33.9,226
2019-12-04 15:13:13.862,21.6,34.0,227
2019-12-04 15:13:16.139,21.6,34.1,227
2019-12-04 15:13:18.414,21.5,34.0,227
2019-12-04 15:13:20.691,21.6,34.1,227
2019-12-04 15:13:22.967,21.6,34.2,227
2019-12-04 15:13:25.245,21.7,34.3,227
2019-12-04 15:13:27.522,21.6,34.3,229
2019-12-04 15:13:29.794,21.6,34.3,229
2019-12-04 15:13:32.072,21.6,34.3,227
2019-12-04 15:13:34.349,21.5,34.2,231
2019-12-04 15:13:36.627,21.6,34.3,229
2019-12-04 15:13:38.903,21.7,34.4,229
2019-12-04 15:13:41.177,21.6,34.4,229
2019-12-04 15:13:43.454,21.5,34.3,229
2019-12-04 15:13:45.732,21.6,34.5,229
2019-12-04 15:13:48.009,21.5,34.5,229
2019-12-04 15:13:50.282,21.7,34.8,229
2019-12-04 15:13:52.561,21.5,34.7,229
2019-12-04 15:13:54.836,21.6,34.8,229
2019-12-04 15:13:57.113,21.5,34.7,231
2019-12-04 15:13:59.392,21.7,34.8,231
2019-12-04 15:14:01.664,21.4,34.5,227
2019-12-04 15:14:03.942,21.6,34.7,229
2019-12-04 15:14:06.224,21.7,34.7,229
2019-12-04 15:14:08.496,21.7,34.7,229
2019-12-04 15:14:10.775,21.6,34.6,229
2019-12-04 15:14:13.047,21.8,34.8,229
2019-12-04 15:14:15.326,21.6,34.6,229
2019-12-04 15:14:17.602,21.6,34.6,229
2019-12-04 15:14:19.879,21.7,34.7,229
2019-12-04 15:14:22.157,21.6,34.6,229
2019-12-04 15:14:24.430,21.6,34.7,231
2019-12-04 15:14:26.707,21.6,34.7,229
2019-12-04 15:14:28.985,21.7,34.7,229
2019-12-04 15:14:31.262,21.6,34.7,227
2019-12-04 15:14:33.539,21.6,34.7,231
2019-12-04 15:14:35.812,21.6,34.7,227
2019-12-04 15:14:38.089,21.6,34.7,227
2019-12-04 15:14:40.367,21.7,34.7,226
2019-12-04 15:14:42.645,21.6,34.7,227
2019-12-04 15:14:44.922,21.7,34.7,229
2019-12-04 15:14:47.194,21.5,34.5,229
2019-12-04 15:14:49.472,21.5,34.5,229
2019-12-04 15:14:51.749,21.6,34.5,229
2019-12-04 15:14:54.026,21.7,34.6,227
2019-12-04 15:14:56.304,21.6,34.5,227
2019-12-04 15:14:58.576,21.6,34.5,226
2019-12-04 15:15:00.854,21.8,34.6,225
2019-12-04 15:15:03.131,21.6,34.5,226
2019-12-04 15:15:05.408,21.6,34.4,226
2019-12-04 15:15:07.682,21.6,34.4,229
2019-12-04 15:15:09.959,21.6,34.5,229
2019-12-04 15:15:12.237,21.5,34.6,227
2019-12-04 15:15:14.513,21.7,34.9,227
2019-12-04 15:15:16.791,21.6,34.9,225
2019-12-04 15:15:19.064,21.5,34.8,226
2019-12-04 15:15:21.342,21.5,34.9,227
2019-12-04 15:15:23.619,21.6,35.0,226
2019-12-04 15:15:25.896,21.3,34.8,229
2019-12-04 15:15:28.173,21.4,34.9,226
2019-12-04 15:15:30.447,21.3,34.9,226
2019-12-04 15:15:32.724,21.4,35.0,226
2019-12-04 15:15:35.002,21.7,35.2,227
2019-12-04 15:15:37.278,21.6,35.1,227
2019-12-04 15:15:39.556,21.7,35.1,226
2019-12-04 15:15:41.828,21.6,35.0,226
2019-12-04 15:15:44.106,21.6,35.0,226
2019-12-04 15:15:46.383,21.6,34.9,227
2019-12-04 15:15:48.660,21.6,34.9,229
2019-12-04 15:15:50.938,21.6,34.8,227
2019-12-04 15:15:53.211,21.5,34.7,227
2019-12-04 15:15:55.489,21.6,34.8,227
2019-12-04 15:15:57.765,21.7,34.8,229
2019-12-04 15:16:00.043,21.6,34.7,227
2019-12-04 15:16:02.320,21.6,34.7,229
2019-12-04 15:16:04.594,21.3,34.5,227
2019-12-04 15:16:06.871,21.6,34.7,227
2019-12-04 15:16:09.148,21.2,34.4,227
2019-12-04 15:16:11.425,21.6,34.6,227
2019-12-04 15:16:13.702,21.8,34.8,227
2019-12-04 15:16:15.975,21.3,34.4,229
2019-12-04 15:16:18.253,22.0,35.0,227
2019-12-04 15:16:20.530,21.8,34.8,227
2019-12-04 15:16:22.808,21.8,34.8,229
2019-12-04 15:16:25.084,21.7,34.7,227
2019-12-04 15:16:27.358,21.7,34.7,226
2019-12-04 15:16:29.635,21.7,34.7,227
2019-12-04 15:16:31.913,21.6,34.5,226
2019-12-04 15:16:34.191,21.7,34.6,227
2019-12-04 15:16:36.467,21.8,34.7,227
2019-12-04 15:16:38.740,21.7,34.6,227
2019-12-04 15:16:41.017,21.6,34.5,227
2019-12-04 15:16:43.295,21.4,34.5,226
2019-12-04 15:16:45.572,21.4,34.6,227
2019-12-04 15:16:47.848,21.6,34.9,227
2019-12-04 15:16:50.122,21.6,35.1,227
2019-12-04 15:16:52.400,21.3,35.1,226
2019-12-04 15:16:54.677,21.7,35.4,227
2019-12-04 15:16:56.953,21.6,35.4,227
2019-12-04 15:16:59.228,21.6,35.4,229
2019-12-04 15:17:01.504,21.8,35.5,229
2019-12-04 15:17:03.782,21.9,35.6,226
2019-12-04 15:17:06.060,21.6,35.4,227
2019-12-04 15:17:08.336,21.6,35.4,227
2019-12-04 15:17:10.610,21.7,35.4,225
2019-12-04 15:17:12.886,21.8,35.5,220
2019-12-04 15:17:15.164,21.7,35.4,223
2019-12-04 15:17:17.441,21.8,35.5,222
2019-12-04 15:17:19.718,21.6,35.4,219
2019-12-04 15:17:21.993,21.6,35.4,223
2019-12-04 15:17:24.269,21.6,35.5,226
2019-12-04 15:17:26.547,21.7,35.6,226
2019-12-04 15:17:28.824,21.6,35.5,226
2019-12-04 15:17:31.100,21.8,35.7,227
2019-12-04 15:17:33.374,21.7,35.7,227
2019-12-04 15:17:35.651,21.6,35.7,227
2019-12-04 15:17:37.929,21.7,35.7,229
2019-12-04 15:17:40.205,21.6,35.7,229
2019-12-04 15:17:42.484,21.6,35.7,229
2019-12-04 15:17:44.756,21.6,35.6,229
2019-12-04 15:17:47.034,21.7,35.7,229
2019-12-04 15:17:49.310,21.8,35.7,229
2019-12-04 15:17:51.589,21.7,35.6,229
2019-12-04 15:17:53.865,21.7,35.6,227
